Day,Date,UTC,PST,Lat,Long,geopoint_test:Accuracy,select_country,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,,select_previous,select_photo,select_whaleinfo,ecotype,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Fri,17-Jul,20:30:08,13:30:08,48.53907833,-123.1766033,0.9,USA,Luna,Jess,PM,WO,,inshore_of_whales 400yd_inthepath,inshore of whales,contact_yes,photo_n,whaleinfo_y,SRKW,J16s,behavior_y,Divert path of travel,wwf_n,2,,Cut inshore of whales and also right in front of path of travel,Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Fri,17-Jul,19:08:38,12:08:38,48.56988167,-123.1790233,1,USA,Luna,Jess,PM,F,,inshore_of_whales fishing_within200yds,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J16s,behavior_y,Moved offshore,wwf_n,1,,,Emv
,,,,,,,,,,,,,,fishing within200yds,,,,,,,,,,,,
Sat,18-Jul,18:18:27,11:18:27,48.50161,-123.142245,1.6,USA,Luna,Erin,PM,WO,,100_yards_under_power,100 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_y,Moved inshore,wwf_n,1,,,Emv
Sat,18-Jul,18:27:41,11:27:41,48.49929,-123.14256,1.2,USA,Luna,Erin,PM,F,,fishing_within100yds,fishing within100yds,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,1,kayakwwf_n,,Emv
Sat,18-Jul,18:53:00,11:53:00,48.47839833,-123.1340167,1,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_n,,wwf_n,1,,,Emv
Sat,18-Jul,19:11:30,12:11:30,48.476525,-123.12767,1.3,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_n,,wwf_n,2,,,Emv
Sat,18-Jul,22:10:09,15:10:09,48.49355333,-123.1386167,0.8,USA,Luna,Erin,PM,T,,high_speed_within_1km incorrectfast_approach fast_departurewithin400yds,high speed within 1km,contact_yes,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,2,,Vessel is called cerca del sol,Emv
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Sat,18-Jul,21:39:44,14:39:44,48.483975,-123.117705,0.8,USA,Luna,Erin,PM,T,,inshore_of_whales high_speed_within_1km fast_departurewithin400yds incorrectfast_approach,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Long dive,wwf_n,3,,,Emv
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Sat,25-Jul,21:50:54,14:50:54,48.3914,-123.0103267,0.9,USA,Raydiance,Erin,MF,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_y,,SRKW,L pod,behavior_unk,,wwf_n,2,,,Emv
Sat,25-Jul,21:40:34,14:40:34,48.39129,-123.0272517,1,USA,Raydiance,Erin,PM,T,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_y,whaleinfo_y,SRKW,L pod,behavior_y,Turned around,wwf_n,2,,,Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sat,25-Jul,21:43:38,14:43:38,48.38911833,-123.020425,0.8,USA,Luna,Erin,PM,T,,high_speed_within_1km 300_yards_under_power 200_yards_under_power,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,L pod,behavior_y,Diversion and long dive,wwf_n,2,,Vessel was aware of whales,Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
Tue,1-Sep,20:39:55,13:39:55,48.48741833,-123.125575,0.79,USA,Raydiance,Mariana,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_y,Deviated south,wwf_n,5,,,Emv
Tue,1-Sep,23:18:58,16:18:58,48.56513,-123.1856433,0.85,USA,Raydiance,Mariana,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,4,,9746-9755,Emv
Tue,1-Sep,22:53:00,15:53:00,48.53951,-123.1768467,0.96,USA,Raydiance,Mariana,PM,T,,high_speed_within_1km 300_yards_under_power 400yd_inthepath incorrectfast_approach fast_departurewithin400yds,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,No surfacing for a few minutes,wwf_n,4,,2nd incident - multiple attempts made 9699-9715; WN: BC6690921,Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Tue,1-Sep,21:29:45,14:29:45,48.49448333,-123.1323633,1.05,USA,Raydiance,Mariana,PM,T,,high_speed_within_1km inshore_of_whales 400yd_inthepath fast_departurewithin400yds travel_behind100_400yds,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,4,,Blue North river,Emv
,,,,,,,,,,,,,,inshore of whales,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Tue,1-Sep,21:50:35,14:50:35,48.51140667,-123.1626117,0.91,USA,Raydiance,Mariana,PM,WO,,inshore_of_whales,inshore of whales,contact_yes,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,4,,Patriot,Emv
Tue,1-Sep,21:52:04,14:52:04,48.512765,-123.1638083,1.01,USA,Raydiance,Mariana,PM,WO,,inshore_of_whales,inshore of whales,contact_yes,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,4,,Carenza,Env
Tue,1-Sep,22:30:23,15:30:23,48.536665,-123.172755,0.89,USA,Raydiance,Mariana,PM,T,,inshore_of_whales 100_yards_under_power 300_yards_under_power 400yd_inthepath,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Momentarily stopped hunting,wwf_n,4,kayakwwf_n,9676 - 9684,Emv
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Tue,1-Sep,19:50:26,12:50:26,48.47440333,-123.0936617,0.88,USA,Raydiance,Mariana,PM,T,,inshore_of_whales high_speed_within_1km incorrectfast_approach fast_departurewithin400yds,inshore of whales,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Surface behavior when boat passed,wwf_n,4,,9480 - 9483,Emv
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Thu,3-Sep,19:27:59,12:27:59,48.4581,-123.0540667,,USA,Raydiance,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,5,,"48 27,486N 123 03.244W",Emv
Thu,3-Sep,19:54:26,12:54:26,48.4776002,-123.0741872,,USA,Raydiance,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,5,,1/4 mile offshore south of false bay; 9913 9919,Emv
Thu,3-Sep,20:14:25,13:14:25,48.4776002,-123.0741872,,USA,Raydiance,Erin,PM,T,,high_speed_within_1km 100_yards_under_power 300_yards_under_power 400yd_inthepath incorrectfast_approach fast_departurewithin400yds travel_behind100_400yds,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J pod,behavior_y,Diverted inshore,wwf_n,5,,"Outside of false bay; actively evaded soundwatch straitwatch and CWR; vessel name is: Full house and is at Galliher point until DEC, 3 2020",Emv
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,,,travel behind100 400yds,,,,,,,,,,,,
Thu,3-Sep,19:09:05,12:09:05,48.4684,-123.06505,,USA,Raydiance,Erin,PM,T,,high_speed_within_1km incorrectfast_approach fast_departurewithin400yds,high speed within 1km,contact_yes,photo_y,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,5,,"48 28.104N 123 03,903W; white fishing boat, one man",Emv
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Thu,3-Sep,18:48:22,11:48:22,48.46546667,-123.07825,,USA,Raydiance,Erin,PS,T,,200_yards_under_power ,200 yards under power ,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,3,,48 degrees 27.928N 123 04.695 W,Emv
Fri,11-Sep,0:10:03,17:10:03,48.47616,-123.09850,,USA,Raydiance,Alanna,PM,T,,high_speed_within_1km 300_yards_under_power fast_departurewithin400yds,high speed within 1km,contact_yes,photo_y,whaleinfo_y,SRKW,All 3 pods spread out,behavior_unk,,,1,,48.476160 -123.098503,Cl
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Sat,19-Sep,21:05:30,14:05:30,48.461085,-123.05187,0.91,USA,Raydiance,Erin,PM,T,,200_yards_under_power,200 yards under power,contact_yes,photo_n,whaleinfo_y,SRKW,J,behavior_y,Whale changed direction,wwf_n,1,,,AKB
Sat,19-Sep,18:58:04,11:58:04,48.4495683,-123.04116,0.78,USA,Raydiance,Erin,PM,F,,200_yards_under_power fishing_within200yds,200 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,2,,,AKB
,,,,,,,,,,,,,,fishing within200yds,,,,,,,,,,,,
Sat,19-Sep,18:49:35,11:49:35,48.4543383,-123.03787,0.8,USA,Raydiance,Erin,PM,F,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_unk,,wwf_n,2,,Charter fishing vessel,AKB
Sun,20-Sep,21:55:34,14:55:34,49.0103867,-123.27456,0.9,Canda,Raydiance,Erin,EC,T,,high_speed_within_1km,high speed within 1km,,photo_n,whaleinfo_y,SRKW,JKL,behavior_n,,wwf_n,2,,Strident 1 CA boat,AKB
Sun,4-Oct,23:00:27,16:00:27,48.45729,-123.09716,3.9,USA,Luna,Alanna,PM,T,,high_speed_within_1km inshore_of_whales,high speed within 1km,contact_no,photo_y,whaleinfo_y,SRKW,J,behavior_unk,,wwf_n,4,,"Did not respond to attempted radio contact
Name: Coho
MMSI: 367385550
US boat",Ec
,,,,,,,,,,,,,,inshore of whales,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total # of violations,,240,,,,,,100 yrds,,17,,,,,,,,,,,,,
,,,,,,,,,,,200 yrds,,17,,,,,,,,,,,,,
,,,,,,,,,,,300 yrds,,33,,,,,,,,,,,,,
,,,,,,,,,,,400 yrds,,0,,,,,,,,,,,,,
,,,# Boat counts,,190,(from 2020 Boat Count form),,,,,in the path,,28,,,,,,,,,,,,,
,,,,,,**excluding initial assessments outside ~5min,,,,,inshore,,22,,,,,,,,,,,,,
,,,,,,hour or half-hour mark,,,,,drone,,0,,,,,,,,,,,,,
,,,,,,,,,,,fast approach,,21,,,,,,,,,,,,,
,,,Overall rate,,2.526315789,,,,,,fast departure,,18,,,,,,,,,,,,,
,,,,,,,,,,,high speed w/in 1km,,55,,,,,,,,,,,,,
,,,,,,,,,,,fast w/in quarter mile,,3,,,,,,,,,,,,,
,,,,,,,,,,,fishing 100y,,4,,,,,,,,,,,,,
,,,,,,,,,,,fishing 200y,,5,,,,,,,,,,,,,
,,,,,,,,,,,fishing inshore,,0,,,,,,,,,,,,,
,,,,,,,,,,,paddling,,2,,,,,,,,,,,,,
,,,,,,,,,,,kayaks outside ngz,,0,,,,,,,,,,,,,
,,,,,,,,,,,spread kayaks w/ whales,,0,,,,,,,,,,,,,
,,,,,,,,,,,offshore whales,,0,,,,,,,,,,,,,
,,,,,,,,,,,shutdown within 100 yrd,,0,,,,,,,,,,,,,
,,,,,,,,,,,shutdown within 200 yrd,,0,,,,,,,,,,,,,
,,,,,,,,,,,sji ngz,,6,,,,,,,,,,,,,
,,,,,,,,,,,travel behind,,5,,,,,,,,,,,,,
,,,,,,,,,,,within 1/8 mi,,3,,,,,,,,,,,,,
,,,,,,,,,,,within 1/2 mi LK,,1,,,,,,,,,,,,,
,,,,,,,,,,,aircraft under1000ft,,0,,,,,,,,,,,,,
