Day,Date,UTC,PST,Lat,Long,geopoint_test:Accuracy,select_country,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,,select_previous,select_photo,select_whaleinfo,ecotype,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials
Sun,5-Jul,22:52:14,15:52:14,48.5711,-123.1828733,0.8,USA,Luna,Erin,PM,T,,inshore_of_whales high_speed_within_1km 200_yards_under_power 300_yards_under_power incorrectfast_approach,inshore of whales,contact_no,photo_n,whaleinfo_n,SRKW,J pod,behavior_n,,wwf_n,,kayakwwf_n,Dorothy,Emv
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Sun,5-Jul,22:50:08,15:50:08,48.576565,-123.1903417,0.8,USA,Luna,Erin,PM,T,,inshore_of_whales high_speed_within_1km 300_yards_under_power 400yd_inthepath fast_departurewithin400yds incorrectfast_approach,inshore of whales,contact_no,photo_n,whaleinfo_n,SRKW,J pod,behavior_unk,,wwf_n,,,,Emv
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
Sun,5-Jul,21:42:49,14:42:49,48.64557333,-123.211235,0.7,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_yes,photo_y,whaleinfo_y,SRKW,J17,behavior_unk,,wwf_n,1,,Involved in previous incident,AKB
Sun,5-Jul,22:12:27,15:12:27,48.60582333,-123.215945,0.8,USA,Luna,Erin,PM,T,3,high_speed_within_1km 100_yards_under_power 200_yards_under_power 400yd_inthepath,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J17,behavior_unk,,wwf_n,1,kayakwwf_n,,AKB
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Mon,6-Jul,19:41:57,12:41:57,48.47414,-123.108675,1,USA,Luna,Erin,PM,T,,400yd_inthepath 200_yards_under_power,400yd inthepath,contact_no,photo_n,whaleinfo_y,SRKW,J,behavior_unk,,wwf_n,1,,,AKB
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
Mon,6-Jul,19:27:04,12:27:04,48.47824833,-123.12224,1.2,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_n,,wwf_n,1,,Blue teal boat. They changed course so that's good,CL
Mon,6-Jul,22:21:32,15:21:32,48.47458333,-123.0892633,0.8,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,J17s,,,,1,,,CL
Mon,6-Jul,21:36:56,14:36:56,48.48750833,-123.1106317,0.7,USA,Luna,Erin,PM,F,,no_go_zone,no go zone,contact_no,photo_n,whaleinfo_y,SRKW,J17s,behavior_n,,,1,,,CL
Tue,7-Jul,22:32:22,15:32:22,48.524045,-123.1752567,1,USA,Luna,Mariana,EU,WO,,300_yards_under_power,300 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,J pod,behavior_n,,wwf_y,1,,Pennille,Emv
Tue,7-Jul,20:39:00,13:39:00,48.488375,-123.126255,0.9,USA,Luna,Mariana,PM,WO,,300_yards_under_power 400yd_inthepath,300 yards under power,contact_no,photo_n,whaleinfo_n,SRKW,J pod,behavior_unk,,wwf_n,1,,,Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Tue,7-Jul,20:10:05,13:10:05,48.484945,-123.1130333,1,USA,Luna,Mariana,PM,WO,,400yd_inthepath withineighthmile_shore 300_yards_under_power,400yd inthepath,contact_no,photo_y,whaleinfo_n,SRKW,J pod,behavior_y,Diverted path multiple time reported from J2,wwf_n,,,Whale watch boats said close encounters happened multiple times involving this yacht,Emv
,,,,,,,,,,,,,,withineighthmile shore,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
